,stepstone_W12,indeed_W12,jobbörse_W12,arbeitsamt_W12,bewerbung_W12,stepstone_W34prev,indeed_W34prev,jobbörse_W34prev,arbeitsamt_W34prev,bewerbung_W34prev,Unemp,month
2017-06-30,50.29518072289157,84.44117647058823,38.168539325842694,43.130434782608695,60.649253731343286,49.04819277108434,79.3235294117647,35.949438202247194,41.73913043478261,55.007462686567166,5.5,6
2017-07-31,54.86746987951807,85.29411764705883,43.49438202247191,44.52173913043478,84.6268656716418,52.78915662650603,81.88235294117646,44.38202247191011,47.30434782608695,64.88059701492537,5.6,7
2017-08-31,64.01204819277109,92.97058823529412,50.59550561797752,37.565217391304344,61.11940298507463,59.855421686746986,83.01960784313725,45.86142322097378,40.811594202898554,62.37313432835821,5.7,8
2017-09-30,64.8433734939759,90.41176470588235,54.58988764044943,41.391304347826086,60.17910447761194,64.01204819277109,92.97058823529412,54.146067415730336,42.434782608695656,59.7089552238806,5.5,9
2017-10-31,62.76506024096386,98.94117647058823,48.376404494382015,36.52173913043478,57.82835820895522,62.34939759036145,109.17647058823529,51.03932584269663,43.826086956521735,60.649253731343286,5.4,10
2017-11-30,62.34939759036145,105.76470588235293,51.48314606741573,34.086956521739125,58.29850746268657,59.855421686746986,99.50980392156862,49.70786516853932,36.17391304347826,53.91044776119403,5.3,11
2017-12-31,56.53012048192771,87.85294117647058,45.26966292134831,34.43478260869565,50.30597014925373,58.19277108433735,93.8235294117647,49.264044943820224,36.173913043478265,54.53731343283582,5.3,12
2018-01-31,69.83132530120481,107.47058823529412,56.80898876404494,43.130434782608695,70.5223880597015,46.0,81.88235294117646,38.76029962546816,31.53623188405797,40.11940298507463,5.8,1
2018-02-28,67.75301204819277,97.23529411764706,54.58988764044943,38.26086956521739,63.00000000000001,67.33734939759036,103.49019607843137,58.288389513108605,41.971014492753625,65.82089552238806,5.7,2
2018-03-31,70.24698795180723,100.6470588235294,58.14044943820224,38.60869565217391,58.768656716417915,71.49397590361446,104.05882352941175,56.80898876404494,42.43478260869565,63.0,5.5,3
2018-04-30,61.933734939759034,91.26470588235293,47.93258426966292,34.086956521739125,51.246268656716424,66.50602409638554,91.26470588235293,49.264044943820224,35.47826086956522,53.59701492537314,5.3,4
2018-05-31,61.51807228915663,85.29411764705881,43.93820224719101,31.652173913043477,49.83582089552239,67.33734939759036,93.8235294117647,48.52434456928839,35.94202898550725,53.59701492537314,5.1,5
2018-06-30,64.42771084337349,89.55882352941177,48.376404494382015,36.52173913043478,58.29850746268657,60.2710843373494,86.1470588235294,40.8314606741573,32.34782608695652,52.18656716417911,5.0,6
2018-07-31,65.25903614457832,91.26470588235294,45.71348314606742,35.130434782608695,70.05223880597015,62.34939759036145,89.55882352941177,45.71348314606742,36.869565217391305,58.768656716417915,5.1,7
2018-08-31,63.596385542168676,87.0,44.38202247191011,32.347826086956516,56.4179104477612,60.96385542168675,88.13725490196077,42.6067415730337,34.086956521739125,53.28358208955223,5.2,8
2018-09-30,60.68674698795181,90.41176470588235,45.71348314606742,33.73913043478261,57.35820895522389,61.10240963855422,91.26470588235293,46.157303370786515,35.130434782608695,57.35820895522389,5.0,9
2018-10-31,61.51807228915663,93.8235294117647,43.49438202247191,36.17391304347826,55.47761194029851,60.40963855421686,91.54901960784314,42.90262172284644,32.92753623188406,56.7313432835821,4.9,10
2018-11-30,61.51807228915663,142.44117647058823,43.49438202247191,34.78260869565217,54.06716417910448,59.57831325301205,126.23529411764706,42.01498127340824,31.768115942028988,52.343283582089555,4.8,11
2018-12-31,53.62048192771084,115.1470588235294,37.7247191011236,32.0,46.54477611940299,57.77710843373494,125.38235294117646,39.5,34.434782608695656,48.42537313432836,4.9,12
2019-01-31,73.98795180722891,164.61764705882354,45.71348314606742,39.652173913043484,64.88059701492537,44.89156626506025,97.23529411764706,27.812734082397,29.217391304347824,33.53731343283582,5.3,1
2019-02-28,70.66265060240963,161.20588235294116,45.71348314606742,38.60869565217391,59.23880597014926,68.5843373493976,164.61764705882354,46.60112359550561,42.78260869565217,63.0,5.3,2
2019-03-31,66.92168674698794,136.47058823529412,41.7191011235955,35.47826086956522,53.126865671641795,68.16867469879517,156.94117647058823,44.38202247191011,38.26086956521739,56.88805970149254,5.1,3
2019-04-30,64.01204819277109,126.23529411764706,40.8314606741573,34.78260869565217,50.776119402985074,67.89156626506023,134.19607843137254,42.31086142322096,38.492753623188406,50.776119402985074,4.9,4
2019-05-31,64.01204819277109,147.55882352941177,38.61235955056179,33.73913043478261,50.30597014925373,57.36144578313253,112.01960784313725,34.02621722846442,29.217391304347824,42.3134328358209,4.9,5
